frame,gpsnh,gpsnl,gpseh,gpsel,heading_angle,yaw_rate,gps_state,gps_velocity,acceleration_forward,acceleration_lateral,acceleration_down,pitch_angle,velocity_down,velocity_lateral,velocity_forward,roll_angle
1,36,0.177692,120,0.487633,180.01,0.13,1,0,-4.24,8.314,7.412,1.26,-3.34,0,0,8.11
2,36,0.177692,120,0.487633,180.01,0.13,1,0,2.428,1.16,-19.953,1.29,-3.52,0,0,8.12
3,36,0.177692,120,0.487633,180.01,-0.34,1,0,9.707,-9.665,-21.679,1.28,-3.21,0,0,8.2
4,36,0.177692,120,0.487633,180.01,0.08,1,0,1.045,-0.29,-20.134,1.27,-3.4,0,0,8.22
5,36,0.177692,120,0.487633,180.01,-0.25,1,0,-8.504,9.766,-18.461,1.26,-3.12,0,0,8.29
6,36,0.177692,120,0.487633,180.01,0.17,1,0,0.305,-0.356,-20.133,1.28,-3.32,0,0,8.31
7,36,0.177692,120,0.487633,180.01,-0.33,1,0,-8.111,10.872,-18.295,1.27,-3.04,0,0,8.37
8,36,0.177692,120,0.487633,180.01,0.13,1,0,-0.057,-0.537,-20.156,1.3,-3.24,0,0,8.4
9,36,0.177692,120,0.487633,180.01,-0.33,1,0,-5.889,9.098,-18.592,1.32,-3.03,0,0,8.46
10,36,0.177692,120,0.487633,180.01,0.25,1,0,-1.302,0.815,-19.93,1.35,-3.23,0,0,8.48
11,36,0.177692,120,0.487633,180.01,-0.32,1,0.01,-9.205,9.448,-18.457,1.3,-3.02,0,0,8.53
12,36,0.177692,120,0.487633,180.01,0.18,1,0.01,0.699,0.042,-20.096,1.29,-3.22,0,0,8.55
13,36,0.177692,120,0.487633,180.01,-0.3,1,0.01,-8.264,13.255,-17.907,1.21,-3.17,0,0,8.6
14,36,0.177692,120,0.487633,180.01,-0.37,1,0,0.728,12.208,-6.81,1.15,-3.11,0,0,8.66
15,36,0.177692,120,0.487633,180.01,-0.37,1,0,0.728,12.208,-6.81,1.15,-3.11,0,0,8.66
16,36,0.177692,120,0.487633,180.01,0.15,1,0,-1.565,3.289,-19.559,1.11,-3.29,0,0,8.68
17,36,0.177692,120,0.487633,180.01,-0.39,1,0,-9.595,8.289,-18.637,1.06,-3.39,0,0,8.78
18,36,0.177692,120,0.487633,180.01,-0.01,1,0,-2.532,2.201,-19.71,1.05,-3.48,0,0,8.79
19,36,0.177692,120,0.487633,180.01,-0.33,1,0,-8.195,6.132,-19.002,1.02,-3.52,0,0,8.79
20,36,0.177692,120,0.487633,180.01,0.01,1,0,-0.979,2.938,-19.625,1,-3.6,0,0,8.81
21,36,0.177692,120,0.487633,180.01,-0.37,1,0,-10.714,7.746,-18.71,0.97,-3.69,0,0,8.87
22,36,0.177692,120,0.487633,180.01,0.05,1,0,-0.502,3.035,-19.618,0.95,-3.77,0,0,8.89
23,36,0.177692,120,0.487633,180.01,0.38,1,0,8.145,-11.583,-22.064,0.95,-3.76,0,0,8.94
24,36,0.177692,120,0.487633,180.01,0.01,1,0,-1.643,3.065,-19.057,0.9,-3.91,0,0,8.91
25,36,0.177692,120,0.487633,180.01,0.43,1,0,8.43,-10.868,-21.959,0.93,-3.87,0,0,8.96
26,36,0.177692,120,0.487633,180.01,0.07,1,0,-2.747,3.986,-14.194,0.94,-3.97,0,0,8.89
27,36,0.177692,120,0.487633,180.01,0.41,1,0,9.581,-11.515,-22.078,0.94,-4.07,0,0,8.95
28,36,0.177692,120,0.487633,180.01,-0.09,1,0,8.713,14.79,-4.484,0.92,-4.07,0,0,8.86
29,36,0.177692,120,0.487633,180.01,0.44,1,0,10.913,-13.521,-22.4,0.92,-4.14,0,0,8.91
30,36,0.177692,120,0.487633,180.01,-0.15,1,0,-5.863,15.626,1.81,0.89,-4.05,0,0,8.82
31,36,0.177692,120,0.487633,180.01,0.4,1,0,10.778,-15.086,-22.609,0.9,-4.12,0,0,8.82
32,36,0.177692,120,0.487633,180.01,-0.14,1,0,-6.773,17.161,6.836,0.84,-3.92,0,0,8.67
33,36,0.177692,120,0.487633,180.01,-0.37,1,0,11.044,-14.696,-22.512,0.84,-4,0,0,8.72
34,36,0.177692,120,0.487633,180.01,-0.37,1,0,-6.75,9.736,-18.509,0.82,-4.14,0,0,8.65
35,36,0.177692,120,0.487633,180.01,-0.33,1,0,-4.043,9.01,-18.67,0.79,-4.04,0,0,8.56
36,36,0.177692,120,0.487633,180.01,-0.07,1,0,-0.799,0.156,-2.261,0.77,-4.01,0,0,8.51
37,36,0.177692,120,0.487633,180.01,-0.05,1,0,-1.584,10.355,-18.521,0.76,-4.06,0,0,8.42
38,36,0.177692,120,0.487633,180.01,-0.05,1,0,-1.584,10.355,-18.521,0.76,-4.06,0,0,8.42
39,36,0.177692,120,0.487633,180.01,-0.23,1,0,-1.118,9.334,-18.695,0.7,-3.93,0,0,8.29
40,36,0.177692,120,0.487633,180.01,0.3,1,0,5.965,-11.261,-21.762,0.66,-3.75,0,0,8.22
41,36,0.177692,120,0.487633,180.01,-0.21,1,0,-0.383,7.748,-18.944,0.64,-3.83,0,0,8.19
42,36,0.177692,120,0.487633,180.01,-0.21,1,0,-0.383,7.748,-18.944,0.64,-3.83,0,0,8.19
43,36,0.177692,120,0.487633,180.01,-0.23,1,0,-2.383,8.171,-18.868,0.68,-3.75,0,0,8.1
44,36,0.177692,120,0.487633,180.01,-0.1,1,0.01,4.587,-10.401,-3.584,0.67,-3.66,0,0,8.04
45,36,0.177692,120,0.487633,180.01,0.25,1,0.01,4.866,-10.857,-21.65,0.71,-3.58,0,0,8.03
46,36,0.177692,120,0.487633,180.01,-0.02,1,0.01,5.771,-9.436,-6.737,0.68,-3.61,0,0,7.93
47,36,0.177692,120,0.487633,180.01,0.31,1,0.01,5.808,-10.275,-21.552,0.68,-3.55,0,0,7.93
48,36,0.177692,120,0.487633,180.01,-0.03,1,0.01,-10.643,15.964,6.104,0.65,-3.53,0,0,7.83
49,36,0.177692,120,0.487633,180.01,0.27,1,0.01,4.366,-9.731,-21.434,0.65,-3.48,0,0,7.83
50,36,0.177692,120,0.487633,180.01,-0.03,1,0.01,-9.344,14.234,10.211,0.62,-3.51,0,0,7.73
51,36,0.177692,120,0.487633,180.01,0.27,1,0.01,3.447,-8.261,-21.199,0.62,-3.42,0,0,7.73
52,36,0.177692,120,0.487633,180.01,-0.13,1,0,-9.573,13.567,11.685,0.55,-3.52,0,0,7.62
53,36,0.177692,120,0.487633,180.01,0.25,1,0,4.641,-9.798,-21.392,0.55,-3.42,0,0,7.62
54,36,0.177692,120,0.487633,180.01,-0.08,1,0,-7.916,13.123,3.369,0.52,-3.34,0,0,7.5
55,36,0.177692,120,0.487633,180.01,0.23,1,0,7.926,-10.939,-21.545,0.52,-3.32,0,0,7.5
56,36,0.177692,120,0.487633,180.01,0.01,1,0,-7.63,14.453,5.494,0.49,-3.26,0,0,7.38
57,36,0.177692,120,0.487633,180.01,0.39,1,0,7.973,-11.631,-21.603,0.49,-3.22,0,0,7.39
58,36,0.177692,120,0.487633,180.01,-0.05,1,0,-6.208,12.785,4.188,0.46,-3.03,0,0,7.26
59,36,0.177692,120,0.487633,180.01,0.31,1,0,7.385,-11.484,-21.55,0.5,-3.13,0,0,7.27
60,36,0.177692,120,0.487633,180.01,-0.04,1,0,-8.285,14.098,-2.665,0.54,-2.93,0,0,7.15
61,36,0.177692,120,0.487633,180.01,0.27,1,0,8.914,-12.928,-21.729,0.58,-3.04,0,0,7.15
62,36,0.177692,120,0.487633,180.01,-0.1,1,0,-6.061,12.193,-0.872,0.61,-2.85,0,0,7.04
63,36,0.177692,120,0.487633,180.01,-0.1,1,0,-1.508,-13.704,-21.687,0.65,-2.96,0,0,7.04
64,36,0.177692,120,0.487633,180.01,-0.04,1,0,-6.609,14.741,-18.126,0.68,-3.18,0,0,6.97
65,36,0.177692,120,0.487633,180.01,0.05,1,0,7.336,1.709,-19.888,0.69,-3.28,0,0,7
66,36,0.177692,120,0.487633,180.01,-0.14,1,0,-2.227,7.936,5.84,0.73,-3.2,0,0,6.94
67,36,0.177692,120,0.487633,180.01,0.14,1,0,-5.735,-0.484,-19.99,0.74,-3.29,0,0,6.92
68,36,0.177692,120,0.487633,180.01,-0.11,1,0,-6.534,8.29,12.779,0.79,-3.16,0,0,6.83
69,36,0.177692,120,0.487633,180.01,0.14,1,0,-5.045,1.301,-19.776,0.8,-3.26,0,0,6.86
70,36,0.177692,120,0.487633,180.01,0.13,1,0,9.907,-9.529,-11.472,0.82,-3.31,0,0,6.83
71,36,0.177692,120,0.487633,180.01,-0.34,1,0,-7.444,12.011,-1.093,0.81,-3.24,0,0,6.78
72,36,0.177692,120,0.487633,180.01,0.07,1,0,10.177,-7.691,-17.98,0.87,-3.33,0,0,6.8
73,36,0.177692,120,0.487633,180.01,-0.07,1,0,-1.671,1.869,2.747,0.85,-3.19,0,0,6.65
74,36,0.177692,120,0.487633,180.01,0.04,1,0,10.278,-7.401,-17.763,0.89,-3.14,0,0,6.71
75,36,0.177692,120,0.487633,180.01,-0.02,1,0,-3.121,4.925,7.225,0.84,-2.94,0,0,6.56
76,36,0.177692,120,0.487633,180.01,-0.11,1,0,9.722,-7.377,-20.985,0.87,-3.04,0,0,6.54
77,36,0.177692,120,0.487633,180.01,0.07,1,0,2.306,5.558,-3.121,0.86,-2.85,0,0,6.43
78,36,0.177692,120,0.487633,180.01,0.29,1,0,5.822,-8.598,-21.042,0.86,-2.92,0,0,6.42
79,36,0.177692,120,0.487633,180.01,0.29,1,0,5.822,-8.593,-21.044,0.86,-3.12,0,0,6.43
80,36,0.177692,120,0.487633,180.01,0.05,1,0,3.175,8.186,-7.463,0.87,-3.11,0,0,6.36
81,36,0.177692,120,0.487633,180.01,-0.23,1,0,-1.602,-6.289,18.777,0.85,-2.98,0,0,6.34
82,36,0.177692,120,0.487633,180.01,0.46,1,0,0.332,-3.053,-20.329,0.93,-2.88,0,0,6.35
83,36,0.177692,120,0.487633,180.01,-0.03,1,0,1.358,-8.891,18.71,0.96,-2.61,0,0,6.35
84,36,0.177692,120,0.487633,180.01,-0.04,1,0,2.922,7.573,-2.081,0.97,-2.51,0,0,6.37
85,36,0.177692,120,0.487633,180.01,-0.17,1,0,-0.587,-2.106,-20.212,1,-2.63,0,0,6.41
86,36,0.177692,120,0.487633,180.01,0.11,1,0.01,7.369,-11.38,-21.426,1.06,-2.39,0,0,6.51
87,36,0.177692,120,0.487633,180.01,-0.1,1,0.01,4.157,6.833,5.523,1.12,-2.51,0,0,6.47
88,36,0.177692,120,0.487633,180.01,0.33,1,0.01,0.463,-3.15,-20.371,1.14,-2.62,0,0,6.63
89,36,0.177692,120,0.487633,180.01,-0.11,1,0,5.528,7.296,2.907,1.16,-2.74,0,0,6.59
90,36,0.177692,120,0.487633,180.01,0.23,1,0,1.649,-3.733,-20.466,1.19,-2.85,0,0,6.65
91,36,0.177692,120,0.487633,180.01,-0.17,1,0,7.196,7.69,-0.659,1.21,-2.63,0,0,6.67
92,36,0.177692,120,0.487633,180.01,0.26,1,0,0.986,-7.039,-20.853,1.24,-2.74,0,0,6.73
93,36,0.177692,120,0.487633,180.01,-0.09,1,0,5.729,5.465,7.116,1.26,-2.44,0,0,6.76
94,36,0.177692,120,0.487633,180.01,0.34,1,0,-12.309,9.585,14.059,1.29,-2.24,0,0,6.81
95,36,0.177692,120,0.487633,180.01,-0.21,1,0,-5.979,-3.762,-20.321,1.31,-2.49,0,0,6.85
96,36,0.177692,120,0.487633,180.01,0.43,1,0,-14.037,10.584,15.406,1.23,-2.2,0,0,6.9
97,36,0.177692,120,0.487633,180.01,-0.16,1,0,-6.051,-4.573,-20.433,1.25,-2.45,0,0,6.93
98,36,0.177692,120,0.487633,180.01,0.44,1,0,4.878,-2.155,-20.375,1.17,-2.22,0,0,6.99
99,36,0.177692,120,0.487633,180.01,-0.15,1,0,-4.925,-5.276,-20.562,1.16,-2.35,0,0,7.02
100,36,0.177692,120,0.487633,180.01,0.41,1,0,9.691,-3.591,-20.638,1.12,-2.51,0,0,6.96
101,36,0.177692,120,0.487633,180.01,-0.08,1,0,-10.974,-2.509,-20.107,1.1,-2.63,0,0,6.99
102,36,0.177692,120,0.487633,180.01,0.33,1,0,7.66,-2.35,-20.449,1.06,-2.7,0,0,7.09
103,36,0.177692,120,0.487633,180.01,0.26,1,0,2.485,-4.194,-20.594,1,-2.85,0,0,7.21
104,36,0.177692,120,0.487633,180.01,0.26,1,0,2.485,-4.194,-20.594,1,-2.85,0,0,7.21
105,36,0.177692,120,0.487633,180.01,0.11,1,0,-2.907,-2.34,-20.268,0.98,-2.95,0,0,7.24
106,36,0.177692,120,0.487633,180.01,0.3,1,0,3.681,-1.796,-20.317,0.94,-2.9,0,0,7.35
107,36,0.177692,120,0.487633,180.01,0.09,1,0,2.227,-4.879,8.94,0.96,-2.73,0,0,7.38
108,36,0.177692,120,0.487633,180.01,0.23,1,0,2.593,-3.905,-20.585,0.91,-3.05,0,0,7.48
109,36,0.177692,120,0.487633,180.01,0.1,1,0,0.031,-5.982,14.121,0.93,-2.81,0,0,7.52
110,36,0.177692,120,0.487633,180.01,0.27,1,0,2.208,-2.488,-20.405,0.89,-3.13,0,0,7.63
111,36,0.177692,120,0.487633,180.01,0.11,1,0,-0.96,-6.886,10.222,0.91,-2.93,0,0,7.67
112,36,0.177692,120,0.487633,180.01,0.44,1,0,0.577,0.45,-19.991,0.9,-3.23,0,0,7.76
113,36,0.177692,120,0.487633,180.01,0.2,1,0,11.476,-12.011,-21.876,0.9,-3.16,0,0,7.81
114,36,0.177692,120,0.487633,180.01,0.38,1,0,-0.014,1.362,-19.86,0.92,-3.45,0,0,7.85
115,36,0.177692,120,0.487633,180.01,0.15,1,0,9.387,-12.28,-21.909,0.93,-3.35,0,0,7.9
116,36,0.177692,120,0.487633,180.01,0.33,1,0,-0.706,2.201,-19.734,0.88,-3.62,0,0,7.94
117,36,0.177692,120,0.487633,180.01,0.08,1,0,9.152,-12.435,-21.944,0.89,-3.58,0,0,7.99
118,36,0.177692,120,0.487633,180.01,0.38,1,0,-1.627,2.544,-19.673,0.83,-3.82,0,0,8.04
119,36,0.177692,120,0.487633,180.01,0.18,1,0,9.038,-13.331,-22.088,0.84,-3.73,0,0,8.08
120,36,0.177692,120,0.487633,180.01,-0.23,1,0,-13.758,15.303,-17.689,0.8,-3.89,0,0,8.09
121,36,0.177692,120,0.487633,180.01,0.17,1,0,8.282,-13.63,-22.138,0.8,-3.92,0,0,8.17
122,36,0.177692,120,0.487633,180.01,-0.27,1,0,-15.249,14.275,-17.808,0.76,-4.07,0,0,8.18
123,36,0.177692,120,0.487633,180.01,0.13,1,0,8.852,-14.738,-22.33,0.79,-4.17,0,0,8.26
124,36,0.177692,120,0.487633,180.01,-0.26,1,0,-13.698,14.025,-17.85,0.75,-4.24,0,0,8.26
125,36,0.177692,120,0.487633,180.01,0.19,1,0,10.363,-15.275,-22.458,0.78,-4.11,0,0,8.35
126,36,0.177692,120,0.487633,180.01,-0.28,1,0,-14.141,13.21,-17.947,0.74,-4.18,0,0,8.35
127,36,0.177692,120,0.487633,180.01,0.31,1,0,11.816,-15.337,-22.486,0.71,-4.29,0,0,8.39
128,36,0.177692,120,0.487633,180.01,0.14,1,0,-15.941,13.466,-17.897,0.67,-4.35,0,0,8.45
129,36,0.177692,120,0.487633,180.01,0.14,1,0,3.196,-11.56,10.725,0.7,-3.86,0,0,8.5
130,36,0.177692,120,0.487633,180.01,0.1,1,0,2.999,-13.61,10.984,0.67,-3.77,0,0,8.56
131,36,0.177692,120,0.487633,180.01,-0.24,1,0,-0.175,13.539,-3.317,0.66,-3.7,0,0,8.49
132,36,0.177692,120,0.487633,180.01,0.08,1,0,2.75,-12.708,6.233,0.63,-3.67,0,0,8.49
133,36,0.177692,120,0.487633,180.01,0.33,1,0,-0.115,13.421,-7.066,0.63,-3.65,0,0,8.42
134,36,0.177692,120,0.487633,180.01,0.08,1,0,3.315,-12.568,1.217,0.64,-3.67,0,0,8.5
135,36,0.177692,120,0.487633,180.01,0.26,1,0,10.976,-11.515,-21.919,0.63,-3.58,0,0,8.48
136,36,0.177692,120,0.487633,180.01,0.31,1,0,-9.858,8.01,-18.782,0.61,-3.75,0,0,8.44
137,36,0.177692,120,0.487633,180.01,0.25,1,0,7.028,-9.411,-21.543,0.59,-3.76,0,0,8.43
138,36,0.177692,120,0.487633,180.01,0.18,1,0,-5.937,6.508,-3.863,0.56,-3.69,0,0,8.46
139,36,0.177692,120,0.487633,180.01,0.22,1,0,3.84,-6.354,-21.059,0.63,-3.74,0,0,8.42
140,36,0.177692,120,0.487633,180.01,0.25,1,0,-2.308,6.416,-0.452,0.67,-3.64,0,0,8.43
141,36,0.177692,120,0.487633,180.01,0.09,1,0,2.963,-4.781,-20.82,0.7,-3.59,0,0,8.42
142,36,0.177692,120,0.487633,180.01,0.06,1,0,-3.492,3.795,6.699,0.67,-3.42,0,0,8.43
143,36,0.177692,120,0.487633,180.01,0.15,1,0,2.868,-5.693,-20.951,0.67,-3.39,0,0,8.41
144,36,0.177692,120,0.487633,180.01,0.14,1,0,7.613,-9.263,-21.55,0.67,-3.29,0,0,8.48
145,36,0.177692,120,0.487633,180.01,-0.3,1,0,-5.565,8.998,16.577,0.67,-3.13,0,0,8.41
146,36,0.177692,120,0.487633,180.01,-0.32,1,0,-7.928,15.551,-17.674,0.74,-3.32,0,0,8.4
147,36,0.177692,120,0.487633,180.01,-0.32,1,0,-7.928,15.551,-17.674,0.74,-3.32,0,0,8.4
148,36,0.177692,120,0.487633,180.01,0.27,1,0,11.801,-12.753,-22.162,0.88,-3.41,0,0,8.47
149,36,0.177692,120,0.487633,180.01,-0.28,1,0,-9.912,9.945,16.591,0.88,-3.17,0,0,8.39
150,36,0.177692,120,0.487633,180.01,0.23,1,0,12.133,-13.161,-22.235,0.93,-2.84,0,0,8.45
151,36,0.177692,120,0.487633,180.01,-0.39,1,0,-10.392,13.684,-17.887,0.93,-2.94,0,0,8.39
152,36,0.177692,120,0.487633,180.01,0.22,1,0,12.404,-12.364,-22.113,0.98,-2.66,0,0,8.39
153,36,0.177692,120,0.487633,180.01,-0.19,1,0,-10.101,13.136,-17.976,0.98,-2.78,0,0,8.32
154,36,0.177692,120,0.487633,180.01,0.11,1,0,11.206,-13.324,-22.215,1,-2.52,0,0,8.31
155,36,0.177692,120,0.487633,180.01,0.11,1,0,11.206,-13.324,-22.215,1,-2.52,0,0,8.31
156,36,0.177692,120,0.487633,180.01,0.25,1,0,13.513,-13.321,-22.214,0.98,-2.48,0,0,8.18
157,36,0.177692,120,0.487633,180.01,-0.07,1,0,-11.22,13.08,-18.01,0.94,-2.6,0,0,8.11
158,36,0.177692,120,0.487633,180.01,0.31,1,0,14.071,-12.628,-22.074,0.93,-2.38,0,0,8.05
159,36,0.177692,120,0.487633,180.01,-0.06,1,0,-11.53,11.556,-18.253,0.89,-2.5,0,0,7.98
160,36,0.177692,120,0.487633,180.01,0.12,1,0,-1.02,9.991,2.419,0.87,-2.28,0,0,7.91
161,36,0.177692,120,0.487633,180.01,-0.09,1,0,-12.726,11.899,-18.205,0.87,-2.45,0,0,7.89
162,36,0.177692,120,0.487633,180.01,0.34,1,0,14.616,-12.324,-21.961,0.86,-2.3,0,0,7.82
163,36,0.177692,120,0.487633,180.01,-0.17,1,0,0.907,0.748,-19.956,0.85,-2.43,0,0,7.77
164,36,0.177692,120,0.487633,180.01,0.34,1,0,16.645,-12.621,-22.004,0.85,-2.28,0,0,7.73
165,36,0.177692,120,0.487633,180.01,0.34,1,0,16.645,-12.621,-22.004,0.85,-2.28,0,0,7.73
166,36,0.177692,120,0.487633,180.01,0.28,1,0,14.795,-12.98,-21.993,0.83,-2.2,0,0,7.63
167,36,0.177692,120,0.487633,180.01,-0.02,1,0,2.699,1.797,-19.834,0.81,-2.33,0,0,7.58
168,36,0.177692,120,0.487633,180.01,0.39,1,0,14.713,-12.368,-21.888,0.84,-2.18,0,0,7.53
169,36,0.177692,120,0.487633,180.01,-0.06,1,0,1.628,3.235,-19.629,0.82,-2.3,0,0,7.48
170,36,0.177692,120,0.487633,180.01,0.04,1,0,-5.635,13.277,-3.602,0.82,-2.05,0,0,7.43
171,36,0.177692,120,0.487633,180.01,-0.04,1,0,1.221,4.253,-19.493,0.87,-2.3,0,0,7.36
172,36,0.177692,120,0.487633,180.01,-0.01,1,0,-7.136,12.59,-5.331,0.87,-2.1,0,0,7.32
173,36,0.177692,120,0.487633,180.01,0.02,1,0,0.22,-10.449,12.037,0.88,-2.16,0,0,7.21
174,36,0.177692,120,0.487633,180.01,-0.01,1,0,-6.552,11.594,-2.729,0.88,-2.13,0,0,7.17
175,36,0.177692,120,0.487633,180.01,0.04,1,0,2.491,-10.776,11.533,0.93,-2.19,0,0,7.07
176,36,0.177692,120,0.487633,180.01,0.05,1,0,-0.61,2.345,-19.711,0.93,-2.14,0,0,6.92
177,36,0.177692,120,0.487633,180.01,-0.03,1,0,5.283,-10.739,8.553,0.93,-2.1,0,0,6.91
178,36,0.177692,120,0.487633,180.01,-0.21,1,0,-4.726,6.381,-19.162,0.93,-2.06,0,0,6.82
179,36,0.177692,120,0.487633,180.01,-0.21,1,0,-4.728,6.369,-19.165,0.94,-2.32,0,0,6.78
180,36,0.177692,120,0.487633,180.01,-0.17,1,0,-6.981,8.484,-18.884,0.97,-2.37,0,0,6.67
181,36,0.177692,120,0.487633,180.01,0.11,1,0,1.245,3.287,-19.633,0.99,-2.49,0,0,6.63
182,36,0.177692,120,0.487633,180.01,-0.23,1,0,-8.823,7.55,-18.98,0.95,-2.58,0,0,6.51
183,36,0.177692,120,0.487633,180.01,-0.01,1,0,0.706,3.597,-19.592,0.96,-2.7,0,0,6.46
184,36,0.177692,120,0.487633,180.01,-0.15,1,0,-8.105,6.724,-19.096,0.93,-2.71,0,0,6.42
185,36,0.177692,120,0.487633,180.01,0.06,1,0,0.188,4.005,-14.985,0.91,-2.78,0,0,6.37
186,36,0.177692,120,0.487633,180.01,0.29,1,0,-4.549,-12.541,-21.314,0.91,-2.87,0,0,6.38
187,36,0.177692,120,0.487633,180.01,0.01,1,0,7.313,-8.225,-7.583,0.9,-2.9,0,0,6.33
188,36,0.177692,120,0.487633,180.01,0.01,1,0,7.313,-8.225,-7.583,0.9,-2.9,0,0,6.33
189,36,0.177692,120,0.487633,180.01,0.07,1,0,6.808,-8.787,-7.613,0.88,-3.01,0,0,6.24
190,36,0.177692,120,0.487633,180.01,-0.27,1,0,9.552,-15.008,-21.774,0.89,-3.11,0,0,6.25
191,36,0.177692,120,0.487633,180.01,0.08,1,0,7.098,-9.491,-4.235,0.91,-3.08,0,0,6.15
192,36,0.177692,120,0.487633,180.01,-0.25,1,0,10.356,-15.22,-21.787,0.91,-3.18,0,0,6.17
193,36,0.177692,120,0.487633,180.01,0.02,1,0,8.152,-9.649,1.611,0.94,-3.07,0,0,6.06
194,36,0.177692,120,0.487633,180.01,-0.35,1,0,10.606,-14.371,-21.684,0.97,-3.17,0,0,6.07
195,36,0.177692,120,0.487633,180.01,0.51,1,0,8.319,-10.157,1.663,1.03,-3.04,0,0,5.98
196,36,0.177692,120,0.487633,180.01,-0.28,1,0,9.318,-12.664,-21.473,1.07,-3.14,0,0,5.98
197,36,0.177692,120,0.487633,180.01,-0.06,1,0,8.035,15.806,3.085,1.08,-3.02,0,0,5.84
198,36,0.177692,120,0.487633,180.01,-0.21,1,0,7.982,-11.527,-21.301,1.13,-3.12,0,0,5.8
199,36,0.177692,120,0.487633,180.01,-0.03,1,0,-10.264,14.448,5.719,1.13,-2.99,0,0,5.69
200,36,0.177692,120,0.487633,180.01,-0.2,1,0,6.61,-7.716,-20.864,1.18,-3.09,0,0,5.65
201,36,0.177692,120,0.487633,180.01,-0.13,1,0,-10.773,12.712,13.573,1.18,-2.89,0,0,5.55
202,36,0.177692,120,0.487633,180.01,-0.18,1,0,6.599,-4.716,-20.553,1.23,-3,0,0,5.51
203,36,0.177692,120,0.487633,180.01,-0.05,1,0,-11.215,11.805,13.729,1.23,-2.83,0,0,5.41
204,36,0.177692,120,0.487633,180.01,-0.11,1,0,6.397,-4.762,-20.542,1.27,-2.94,0,0,5.36
205,36,0.177692,120,0.487633,180.01,-0.04,1,0,-0.209,4.973,0.133,1.24,-2.95,0,0,5.31
206,36,0.177692,120,0.487633,180.01,-0.21,1,0,6.644,-4.868,-20.537,1.21,-2.81,0,0,5.22
207,36,0.177692,120,0.487633,180.01,-0.04,1,0,-1.255,4.5,-0.87,1.18,-2.84,0,0,5.16
208,36,0.177692,120,0.487633,180.01,-0.08,1,0,-2.51,1.391,-19.767,1.12,-2.84,0,0,5.08
209,36,0.177692,120,0.487633,180.01,0.01,1,0,0.011,4.467,0.442,1.12,-2.75,0,0,4.92
210,36,0.177692,120,0.487633,180.01,-0.18,1,0,-0.849,-2.832,17.754,1.06,-2.38,0,0,4.84
211,36,0.177692,120,0.487633,180.01,-0.06,1,0,12.79,-12.711,-21.245,1.06,-2.5,0,0,4.83
212,36,0.177692,120,0.487633,180.01,0.29,1,0,2.675,-4.934,-20.396,1.06,-2.62,0,0,4.81
213,36,0.177692,120,0.487633,180.01,-0.01,1,0,-11.322,17.01,-18.322,1.01,-2.64,0,0,4.72
214,36,0.177692,120,0.487633,180.01,-0.16,1,0,-0.954,-5.097,12.042,0.99,-2.65,0,0,4.7
215,36,0.177692,120,0.487633,180.01,-0.07,1,0,-12.402,13.03,20.477,0.96,-2.77,0,0,4.63
216,36,0.177692,120,0.487633,180.01,0.33,1,0,0.955,-1.284,-20.045,0.95,-2.62,0,0,4.62
217,36,0.177692,120,0.487633,180.01,-0.06,1,0,-14.839,16.01,-18.388,1,-2.55,0,0,4.54
218,36,0.177692,120,0.487633,180.01,-0.17,1,0,-0.458,-7.42,16.336,1.05,-2.54,0,0,4.51
219,36,0.177692,120,0.487633,180.01,-0.05,1,0,-13.019,16.468,-18.388,1.09,-2.65,0,0,4.46
220,36,0.177692,120,0.487633,180.01,0.3,1,0,-0.087,-0.625,-19.97,1.11,-2.87,0,0,4.5
221,36,0.177692,120,0.487633,180.01,-0.12,1,0,-13.97,17.523,-18.255,1.11,-2.79,0,0,4.55
222,36,0.177692,120,0.487633,180.01,0.3,1,0,-1.163,-0.682,-19.958,1.1,-3.01,0,0,4.59
223,36,0.177692,120,0.487633,180.01,-0.12,1,0,-14.971,16.08,-18.339,1.07,-3.12,0,0,4.64
224,36,0.177692,120,0.487633,180.01,0.37,1,0,-1.3,-0.636,-19.956,1.06,-3.22,0,0,4.68
225,36,0.177692,120,0.487633,180.01,-0.07,1,0,-16.392,15.686,-18.335,1.02,-3.34,0,0,4.73
226,36,0.177692,120,0.487633,180.01,0.24,1,0,-1.131,-0.315,-19.936,1.01,-3.43,0,0,4.77
227,36,0.177692,120,0.487633,180.01,0.04,1,0,13.612,-17.788,-21.702,1.05,-3.52,0,0,4.88
228,36,0.177692,120,0.487633,180.01,-0.13,1,0,-1.112,1.262,-19.806,0.99,-3.77,0,0,4.9
229,36,0.177692,120,0.487633,180.01,-0.21,1,0,-15.331,16.03,-18.289,0.95,-3.89,0,0,4.95
230,36,0.177692,120,0.487633,180.01,-0.19,1,0,-0.329,1.43,-19.805,0.94,-3.96,0,0,4.98
231,36,0.177692,120,0.487633,180.01,0.11,1,0,15.625,-15.775,-21.587,0.95,-3.99,0,0,5.03
232,36,0.177692,120,0.487633,180.01,-0.12,1,0,0.462,12.856,-4.013,0.94,-4.06,0,0,5.12
233,36,0.177692,120,0.487633,180.01,-0.13,1,0,15.666,-16.278,-21.674,0.94,-4.13,0,0,5.17
234,36,0.177692,120,0.487633,180.01,-0.12,1,0,-0.484,11.589,-9.316,0.86,-4.24,0,0,5.17
